牛鬼蛇神,ND,7,-1
实属不易,PH,3,0
詹言曲说,NN,3,-1
栩栩,PH,5,1
半截入土,NB,5,0
横槊赋诗,PH,7,1
塌台,NN,5,-1
束手无策,NE,9,0
主谋,NN,7,-1
丰赡,PH,5,1
除暴安良,PH,3,1
借题发挥,NN,5,-1
磨砖成镜,NJ,1,-1
自以为得计,NN,3,-1
蠹虫,ND,7,-1
锦囊还矢,PA,5,1
花花世界,NN,3,1
破相,PK,5,0
怨恨,ND,9,0
惊惶无措,NI,5,-1
怠慢,NN,5,-1
温情密意,PB,7,1
没世不忘,PG,9,1
焕发,PH,5,1
锃光瓦亮,PH,3,1
遭家不造,NB,7,0
国粹,PB,5,1
卓尔不群,PH,7,1
声震寰宇,PH,9,1
一鼓作气,PH,5,1
怨悔,NH,5,0
报本反始,PD,7,1
栗栗危俱,NC,8,-1
失马塞翁,PA,7,0
排列整齐,PH,3,1
悔其少作,NJ,5,0
悼亡,NB,7,0
重温旧梦,NB,1,0
野心勃勃,NN,7,-1
灾星,NN,9,-1
饶有风趣,PH,5,1
探竿影草,PH,5,1
立锥之地,NN,1,-1
其貌不扬,NN,7,0
才疏学浅,NN,7,-1
文恬武嬉,NN,5,-1
乐观,PA,3,1
内外夹攻,NI,3,0
口蜜腹剑,NN,7,-1
马腹逃鞭,NN,3,-1
放达不羁,PH,5,1
倨傲,NN,7,-1
衰老,NB,5,0
信奉,PG,5,1
追问,NI,7,1
分毫析厘,PH,3,1
任用,PG,5,0
炫惑,NN,5,-1
丰足,PA,3,1
回肠,NI,3,0
怙才骄物,NN,7,-1
讨是寻非,ND,7,-1
神医,PH,7,1
见地,PH,7,1
赃私狼藉,NN,5,-1
撒手锏,PH,7,1
风言醋语,ND,5,-1
天翻地覆,PH,5,1
劳而无功,NN,5,-1
嘴长,NN,5,-1
欺大压小,NN,5,-1
铁面鎗牙,PH,7,1
雨帘云栋,PH,7,1
有识,PH,5,1
性感,PH,5,1
大材小用,NJ,5,-1
举直错枉,PH,3,1
怀旧,PF,3,0
哀莫大于心死,NB,9,-1
贪功起釁,NN,7,-1
唇齿相依,PB,7,1
迷雾,NN,1,0
涂歌巷舞,PA,7,1
对不住,NH,3,0
不法常可,PH,5,1
瞎话,NN,3,-1
坐食山空,NN,5,-1
心浮,NE,1,-1
骁健,PH,5,1
凡才浅识,NN,5,-1
根本,PH,1,0
郁结,NE,9,0
好心肠,PH,1,1
放之四海而皆准,PG,9,1
情义,PH,7,1
怀春,PB,3,0
瞎说,NN,7,-1
胡行乱为,ND,7,-1
凶相毕露,ND,5,-1
值价,PH,3,1
咫尺万里,PH,5,1
乖觉,PH,5,1
九世之仇,ND,9,-1
道谢,PH,5,0
无可不可,PH,9,1
邋邋遢遢,NN,9,-1
垂涎,NN,5,-1
相提并论,NN,7,-1
情书,PB,5,0
计获事足,PE,5,0
努牙突嘴,NA,5,-1
毫无保留地,PH,3,1
一触即溃,NN,9,-1
熟视无睹,NN,5,-1
海底捞针,NJ,5,-1
心术不端,NN,7,-1
借助,PD,5,1
肉痛,NB,7,0
零零碎碎,NN,1,-1
潜精研思,PH,9,1
情事,PA,7,1
无拘无碍,PA,7,1
敲髓洒膏,NB,8,0
圣礼,PD,9,0
罹难,PB,5,0
不堪入目,NE,9,-1
大惑不解,NB,7,-1
秋水伊人,PF,1,0
忧深思远,PH,3,1
噩运,ND,3,-1
营营苟苟,NN,5,-1
深仇宿怨,ND,5,-1
驯化,NN,5,-1
水底捞月,NJ,5,-1
张眼露睛,NN,7,-1
自投罗网,NN,5,0
香泽,PH,5,1
情人,PA,7,1
坦然,PE,1,0
研精殚力,PH,7,1
胶柱鼓瑟,NN,3,-1
醇朴,PH,7,1
热情洋溢,PA,5,1
怨懑,ND,5,-1
3x,PD,3,1
义诊,PH,5,1
海阔天空,PA,5,1
抗尘走俗,NN,7,-1
起褶子,NE,3,0
骄傲,ND,5,-1
徒托空言,NN,5,-1
磨折,NN,5,-1
风光月霁,PH,7,1
干云蔽日,PH,5,1
装相,NN,5,-1
吕安题凤,NJ,3,-1
以身殉职,PH,5,1
黄河水清,PC,7,1
破碎,NB,5,0
引荐,PD,5,1
垂帘听政,ND,9,-1
顺适,PE,3,1
贼喊捉贼,ND,5,-1
同归於尽,ND,7,0
风雨晦冥,NB,5,0
颓败,NN,5,-1
惊心惮胆,NC,9,0
有眼如盲,NN,5,-1
发毛咕,NC,1,0
死声淘气,NB,5,-1
芬芳馥郁,PB,3,1
低沉,NJ,3,-1
靡然从风,PH,1,1
唠唠叨叨,NN,3,-1
彩礼,PB,7,1
履霜之戒,NC,7,-1
时乖命蹇,NJ,7,-1
恰好,PA,7,0
杀气腾腾,NC,5,-1
骚乱,NN,3,-1
棒喝,NA,5,-1
逃难,NI,5,-1
骗人,ND,9,-1
志气,PH,7,1
衷肠,PE,7,1
幽闲,PH,5,1
钢打铁铸,PH,3,1
搬斤播两,ND,5,-1
恰如,PH,3,0
破烂不堪,NN,3,-1
获兔烹狗,NB,5,0
推亡固存,PH,7,1
神品,PH,9,1
:),PA,1,1
即以其人之道，还治其人之身,PA,3,0
笑容可掬,PA,9,1
恶声,ND,5,-1
惊人,PC,7,0
逼迫,NE,5,-1
补苴,NH,5,0
文江学海,PH,9,1
保守,NN,1,-1
够水平,PH,3,1
负义忘恩,ND,9,-1
修好,PH,5,1
人一己百,PH,5,1
分心挂腹,PF,7,0
平静,PE,3,0
铜驼草莽,NB,7,-1
平靖,NC,9,0
吉祥如意,PE,5,1
不知所从,NE,5,-1
不知所以,NL,5,-1
道贺,PA,1,0
悲凉,NB,7,0
分花拂柳,PH,7,1
离本依末,NN,3,-1
悲凄,NB,5,0
反唇相讥,ND,3,-1
恢宏,PH,9,1
超巨星,PH,9,1
释怀,PE,5,1
万马奔腾,PH,9,1
弱肉强食,NN,5,-1
截镫留鞭,PF,5,0
鼓歌载舞,PA,5,1
情侣,PA,7,1
中选,PA,5,1
畏威怀德,PF,7,-1
广阔,PH,5,1
深明大义,PH,7,1
疙疙瘩瘩,NE,7,0
侮慢,NN,5,-1
便当,PA,5,1
款款深深,PB,9,1
示好,PB,3,0
驰名,PH,9,1
余毒,NN,9,-1
饶爽,PH,5,1
作死,NN,9,-1
怪模怪样,NN,3,-1
悲切,NB,5,0
怯懦,NC,5,-1
柳骨颜筋,PH,7,1
倾倒,PB,7,1
舌敝耳聋,NE,8,-1
野心,NN,1,0
瓦影鱼,NN,9,-1
换骨夺胎,PH,7,1
祝哽祝噎,PD,7,1
借口,NN,5,-1
滥官污吏,NN,7,-1
逐臭之夫,ND,7,-1
课嘴撩牙,NN,5,-1
唯利是求,NN,7,-1
不露斤斧,PH,5,1
有趣,PH,5,1
明堂正道,PH,6,1
鬼瞰其室,NN,7,-1
形影自守,NB,7,0
贪多务得,NN,7,-1
祥和,PA,7,1
惑乱,NN,5,-1
信守,PH,3,1
见好,PA,5,1
惊佩,PH,5,1
上钩,NN,5,3
信实,PH,5,1
亲聆,PD,3,1
天字第一号,PH,9,0
怒斥,NN,5,0
幽雅,PH,5,1
即温听厉,PD,5,0
坐树无言,PH,5,1
以终天年,PH,5,1
蠢话,NN,5,-1
一丝不苟,PH,7,1
枝繁叶茂,PH,9,1
耿耿,PH,3,0
严酷,NC,3,0
悲剧,NB,7,-1
三年化碧,PH,5,1
青肝碧血,PH,7,1
月露之体,NN,3,-1
壁垒森严,NE,1,0
心潮,NE,5,0
鸾交凤俦,PH,3,1
腹心相照,PH,9,1
惊心褫魄,NC,5,-1
野性,NN,1,-1
百花生日,PH,5,1
治丝而棼,NJ,5,-1
浑水摸鱼,NN,1,-1
从紧,PH,1,0
中邪,NN,5,-1
沽名吊誉,NN,7,-1
热孝,NB,7,0
串通,NN,1,-1
饿殍枕藉,NB,5,0
爱礼存羊,PH,3,1
眷顾,PB,5,1
于今为烈,NN,5,-1
迷宫般,NE,1,0
B4,NN,7,-1
煎胶续弦,PF,5,0
珊珊来迟,NN,5,-1
严重,NN,3,-1
BD,NN,5,-1
涸辙之鲋,NE,5,0
褫其华衮，示人本相,ND,7,-1
跑龙套,NN,6,-1
飘籓坠溷,NJ,3,-1
BS,NN,7,-1
止於至善,PH,5,1
富贵浮云,NN,5,1
及时行乐,NN,5,-1
染病,NE,7,0
CC,PA,5,1
闹闹嚷嚷,NN,7,-1
果熟蒂落,PH,5,1
平顺,PE,6,0
器量,PK,5,0
清歌妙舞,PH,4,1
白璧无暇,PH,9,1
器重,PB,5,1
泛滥成灾,NN,9,-1
幽静,PH,5,1
势利眼,NN,7,-1
期许,PK,7,0
神闲气静,PE,7,0
骁勇,PH,7,1
左右手,PG,5,1
仁者能仁,PH,5,1
死沉沉,NN,9,-1
得用,NN,5,-1
有始无终,NN,5,-1
计无复之,NB,5,0
惹祸招愆,NN,5,-1
安常守分,PH,9,1
专心致志,PH,7,1
一隅,NN,3,-1
讬孤寄命,PG,9,0
老油子,NN,7,-1
上镜,PH,5,1
乘伪行诈,NN,7,-1
乖谬,NN,7,-1
遵养晦时,NE,5,0
鳌掷鲸呿,PA,5,1
不错,PH,3,1
傲慢不逊,NN,5,-1
奋起直追,PH,3,1
雉头狐腋,NN,5,-1
乏货,NN,3,-1
追风蹑影,PH,7,1
捉班做势,ND,5,-1
黑黢黢,NC,5,-1
身不遇时,NJ,5,-1
鳌掷鲸吞,PA,5,1
试金石,PG,7,1
坏分子,NN,5,-1
FT,PC,5,0
勤能补拙,PH,5,1
少条失教,NN,5,-1
卖主求荣,ND,7,-1
辜恩负义,NN,9,-1
国耻,ND,9,-1
万夫莫当,PH,9,1
兵强将勇,PH,5,1
才高气清,PH,5,1
顶天踵地,PH,5,1
众生,PE,5,1
坦率,PH,5,1
铜山铁壁,PH,9,1
联结,PE,5,1
惊心悼胆,NC,8,-1
横眉瞪目,NA,9,-1
水滴石穿,PH,9,1
恶作剧,NN,3,-1
通文达艺,PH,7,1
HC,NN,5,-1
擢筋剥肤,NC,7,-1
石赤不夺,PH,5,1
乞讨,NE,5,0
HJ,ND,7,-1
肥甘,PH,5,1
心火,NA,5,0
偎依,PA,5,0
火气,NA,3,0
砺世磨钝,PH,7,1
幽韵,PH,5,1
饭来张口,NN,3,-1
健步如飞,PH,7,1
当面鼓，对面锣,NN,8,-1
自作自受,NN,7,-1
悭吝,NN,3,-1
心灵,PH,7,1
垂头丧气,NB,5,0
横眉瞪眼,NA,9,-1
仳离,NN,6,0
旁若无人,NN,3,-1
俏式,PH,5,1
浅斟低唱,NN,5,-1
朝乾夕惕,PH,9,1
视如粪土,ND,9,-1
槐南一梦,NB,5,0
停业,NJ,5,-1
沉冤莫白,NE,9,0
腐恶,ND,7,-1
涣若冰消,PG,7,1
骄奢淫佚,NN,5,-1
赘食太仓,NH,7,-1
鲁连蹈海,PD,9,1
曲意逢迎,NN,5,-1
乐祸幸灾,NN,7,-1
JR,NN,7,-1
品学兼优,PH,7,1
指李推张,NN,5,-1
侵扰,NN,3,-1
蠢货,NN,7,-1
解囊,PH,5,1
烟幕,NN,5,-1
妙语解颐,PH,7,1
诡计多端,NN,9,-1
庄静,PH,3,1
乐趣,PA,3,1
恍忽,NI,3,0
解围,PA,5,1
洪炉点雪,PH,7,1
扭转乾坤,PH,7,1
亲自,PG,5,1
非我族类，其心必异,NN,7,-1
日新月异,PH,5,1
自专,NN,5,-1
谏鼓谤木,PH,5,1
做事,ND,7,-1
LJ,NN,5,-1
随方逐圆,NN,5,-1
自主,PH,5,1
LM,ND,5,-1
三复斯言,PH,5,1
乐极则悲,NB,5,-1
木讷,ND,3,-1
毫分缕析,PH,5,1
自讨没趣,NN,5,-1
图腾崇拜,PD,9,1
悲号,NB,7,0
神圣,PH,5,1
坐监,NN,7,-1
大而无当,NN,7,-1
凿骨捣髓,ND,7,-1
心烦,NE,5,0
衰萎,NN,5,-1
谏尸谤屠,NJ,5,-1
板脸,NE,5,0
